ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return,cumulative_return,ma5,ma20,month,stock_name,industry
600519.SH,2025-04-21,1565.5,1565.5,1551.0,1551.0,1565.94,-14.94,-0.9541,18057.03,2808158.177,-0.009540595425112097,0.04233870967741926,1560.822,1560.1875,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-22,1550.0,1556.3,1543.21,1548.8,1551.0,-2.2,-0.1418,18432.14,2857525.967,-0.0014184397163120588,0.04086021505376336,1558.982,1558.4775,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-23,1559.0,1559.22,1545.0,1552.0,1548.8,3.2,0.2066,18668.76,2895468.892,0.0020661157024792765,0.043010752688172005,1557.548,1557.3025,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-24,1552.0,1560.68,1548.98,1552.25,1552.0,0.25,0.0161,14871.81,2313372.072,0.00016108247422685906,0.043178763440860246,1553.998,1556.115,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-25,1557.1,1561.2,1550.0,1550.0,1552.25,-2.25,-0.145,14764.9,2295029.705,-0.0014495087775808768,0.04166666666666674,1550.81,1554.165,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-28,1552.0,1555.0,1546.6,1550.0,1550.0,0.0,0.0,14659.72,2274252.465,0.0,0.04166666666666674,1550.6100000000001,1552.4045,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-29,1550.0,1552.54,1532.02,1544.0,1550.0,-6.0,-0.3871,18921.8,2917422.938,-0.003870967741935516,0.037634408602150504,1549.65,1551.5545,2025-04,贵州茅台,食品饮料
600519.SH,2025-04-30,1549.99,1566.66,1546.3,1547.0,1544.0,3.0,0.1943,25754.25,4005439.429,0.0019430051813471572,0.03965053763440851,1548.65,1551.1035,2025-04,贵州茅台,食品饮料
600519.SH,2025-05-06,1559.0,1559.0,1544.33,1550.2,1547.0,3.2,0.2069,18300.26,2838614.215,0.0020685197155785318,0.041801075268817156,1548.24,1551.1625,2025-05,贵州茅台,食品饮料
600519.SH,2025-05-07,1570.0,1570.0,1550.2,1555.0,1550.2,4.8,0.3096,27462.21,4275142.569,0.003096374661333945,0.04502688172043001,1549.24,1550.4685,2025-05,贵州茅台,食品饮料
