ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return,cumulative_return,ma5,ma20,month,signal,position,strategy_return,strategy_cumulative_return
002594.SZ,2025-04-21,346.0,349.87,345.24,348.76,346.0,2.76,0.7977,74953.41,2609226.235,0.007976878612716787,-0.045800273597810914,351.312,,2025-04,0,0.0,0.0,0.0
002594.SZ,2025-04-22,348.76,356.93,346.78,354.84,348.76,6.08,1.7433,112122.06,3956085.869,0.017433191879802745,-0.029165526675786313,350.28599999999994,,2025-04,0,0.0,0.0,0.0
002594.SZ,2025-04-23,377.0,378.0,367.23,371.99,354.84,17.15,4.8332,247926.89,9216822.11,0.04833164243039123,0.017756497948016703,354.254,,2025-04,0,0.0,0.0,0.0
002594.SZ,2025-04-24,372.48,374.6,363.35,366.0,371.99,-5.99,-1.6103,150892.11,5557113.199,-0.016102583402779702,0.001367989056087815,357.51800000000003,,2025-04,0,0.0,-0.0,0.0
002594.SZ,2025-04-25,370.0,375.3,368.1,370.83,366.0,4.83,1.3197,133869.42,4975314.905,0.013196721311475423,0.014582763337893656,362.48400000000004,,2025-04,0,0.0,0.0,0.0
002594.SZ,2025-04-28,367.13,367.13,356.56,360.0,370.83,-10.83,-2.9205,179783.2,6459136.36,-0.02920475689669122,-0.015047879616962745,364.732,,2025-04,0,0.0,-0.0,0.0
002594.SZ,2025-04-29,359.1,360.63,353.0,355.0,360.0,-5.0,-1.3889,118983.07,4237606.41,-0.01388888888888884,-0.02872777017783823,364.764,352.149,2025-04,0,0.0,-0.0,0.0
002594.SZ,2025-04-30,354.9,354.93,349.3,353.09,355.0,-1.91,-0.538,130479.47,4599074.535,-0.005380281690140931,-0.03395348837209278,360.984,351.5285,2025-04,0,0.0,-0.0,0.0
002594.SZ,2025-05-06,360.0,362.3,355.92,359.96,353.09,6.87,1.9457,148293.53,5326196.143,0.019456795717805564,-0.015157318741449877,359.776,351.50149999999996,2025-05,0,0.0,0.0,0.0
002594.SZ,2025-05-07,365.0,365.68,358.14,359.2,359.96,-0.76,-0.2111,108839.9,3937980.382,-0.0021113457050783158,-0.017236662106702938,357.45,351.58599999999996,2025-05,0,0.0,-0.0,0.0
002594.SZ,2025-05-08,356.52,361.98,355.7,359.28,359.2,0.08,0.0223,83381.69,2994908.337,0.0002227171492203972,-0.017017783857729007,357.3059999999999,353.462,2025-05,0,0.0,0.0,0.0
002594.SZ,2025-05-09,360.75,366.0,359.3,363.22,359.28,3.94,1.0966,143726.16,5218995.471,0.010966377198842192,-0.006238030095759073,358.95,355.2475,2025-05,0,0.0,0.0,0.0
002594.SZ,2025-05-12,365.0,370.28,360.58,370.28,363.22,7.06,1.9437,161370.17,5890708.994,0.019437255657728025,0.013077975376197148,362.38800000000003,357.5315,2025-05,0,0.0,0.0,0.0
002594.SZ,2025-05-13,376.0,376.58,366.03,366.5,370.28,-3.78,-1.0208,131771.07,4874657.844,-0.010208490871772669,0.002735978112175408,363.696,359.03650000000005,2025-05,0,0.0,-0.0,0.0
002594.SZ,2025-05-14,366.5,373.1,363.36,373.1,366.5,6.6,1.8008,135693.07,5012059.707,0.018008185538881394,0.02079343365253128,366.476,359.9425,2025-05,0,0.0,0.0,0.0
002594.SZ,2025-05-15,373.0,385.0,369.28,376.8,373.1,3.7,0.9917,208801.37,7894571.015,0.009916912355936613,0.030916552667578978,369.97999999999996,360.8325,2025-05,0,0.0,0.0,0.0
002594.SZ,2025-05-16,375.03,390.99,373.58,389.17,376.8,12.37,3.2829,229327.94,8858484.484,0.03282908704883236,0.06476060191518518,375.16999999999996,362.2925,2025-05,0,0.0,0.0,0.0
002594.SZ,2025-05-19,388.0,388.0,377.0,382.81,389.17,-6.36,-1.6342,161372.81,6159126.224,-0.016342472441349565,0.04735978112175143,377.67600000000004,363.82550000000003,2025-05,0,0.0,-0.0,0.0
002594.SZ,2025-05-20,383.5,394.8,381.5,394.8,382.81,11.99,3.1321,172099.91,6705400.029,0.03132102087197297,0.08016415868673077,383.33600000000007,366.08149999999995,2025-05,0,0.0,0.0,0.0
