ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return,cumulative_return,ma5,ma20,month,stock_name,industry
601318.SH,2025-03-14,51.33,53.89,51.21,53.47,51.14,2.33,4.5561,1502448.65,7945017.156,0.04556120453656631,0.05442713468743854,51.702,51.28099999999999,2025-03,中国平安,金融保险
601318.SH,2025-03-17,53.47,53.62,53.1,53.38,53.47,-0.09,-0.1683,605171.76,3229662.145,-0.0016831868337384703,0.052652336817196055,52.128,51.35799999999999,2025-03,中国平安,金融保险
601318.SH,2025-03-18,53.7,54.19,53.64,53.76,53.38,0.38,0.7119,587740.02,3164655.447,0.007118771075309116,0.06014592782488681,52.58,51.48049999999999,2025-03,中国平安,金融保险
601318.SH,2025-03-19,53.68,54.3,53.57,54.07,53.76,0.31,0.5766,509874.21,2751845.206,0.005766369047619069,0.06625912048905569,53.164,51.6115,2025-03,中国平安,金融保险
601318.SH,2025-03-20,54.05,54.06,52.23,52.49,54.07,-1.58,-2.9221,1140723.46,6007424.559,-0.029221379692990546,0.03510155787813085,53.434000000000005,51.697,2025-03,中国平安,金融保险
601318.SH,2025-03-21,52.4,52.66,51.68,51.75,52.49,-0.74,-1.4098,795714.68,4145943.295,-0.014097923413983637,0.020508775389469713,53.089999999999996,51.7245,2025-03,中国平安,金融保险
601318.SH,2025-03-24,51.82,52.28,51.82,52.13,51.75,0.38,0.7343,508656.9,2646991.166,0.0073429951690822115,0.028002366397160694,52.84000000000001,51.730999999999995,2025-03,中国平安,金融保险
601318.SH,2025-03-25,52.15,52.21,51.82,51.96,52.13,-0.17,-0.3261,344402.24,1790739.699,-0.0032610780740457423,0.024649970420035805,52.48,51.78000000000001,2025-03,中国平安,金融保险
601318.SH,2025-03-26,51.98,52.09,51.72,51.72,51.96,-0.24,-0.4619,403994.61,2094936.176,-0.004618937644341847,0.019917176099389033,52.010000000000005,51.785000000000004,2025-03,中国平安,金融保险
601318.SH,2025-03-27,51.71,52.45,51.53,52.06,51.72,0.34,0.6574,432168.72,2248679.011,0.006573859242072766,0.02662196805363881,51.924,51.807,2025-03,中国平安,金融保险
601318.SH,2025-03-28,52.2,52.37,51.85,51.96,52.06,-0.1,-0.1921,353663.53,1841078.406,-0.0019208605455244276,0.024649970420036027,51.965999999999994,51.886,2025-03,中国平安,金融保险
601318.SH,2025-03-31,51.9,52.25,51.39,51.63,51.96,-0.33,-0.6351,468389.71,2423816.08,-0.006351039260969915,0.01814237822914677,51.866,51.951,2025-03,中国平安,金融保险
601318.SH,2025-04-01,51.6,51.86,51.41,51.62,51.63,-0.01,-0.0194,394320.57,2035352.505,-0.00019368584156509439,0.01794517846578647,51.798,52.028,2025-04,中国平安,金融保险
601318.SH,2025-04-02,51.58,51.96,51.53,51.86,51.62,0.24,0.4649,283274.27,1467236.071,0.0046493607129021175,0.022677972786433465,51.826,52.102,2025-04,中国平安,金融保险
601318.SH,2025-04-03,51.39,52.0,51.38,51.48,51.86,-0.38,-0.7327,373347.82,1927750.54,-0.007327419976860816,0.015184381778742706,51.71,52.093999999999994,2025-04,中国平安,金融保险
601318.SH,2025-04-07,49.3,49.77,47.0,48.56,51.48,-2.92,-5.6721,1727558.41,8362219.629,-0.05672105672105665,-0.0423979491224602,51.03,51.947,2025-04,中国平安,金融保险
601318.SH,2025-04-08,48.55,49.26,48.1,49.26,48.56,0.7,1.4415,1117529.77,5446468.218,0.014415156507413318,-0.028593965687240486,50.556,51.847500000000004,2025-04,中国平安,金融保险
601318.SH,2025-04-09,48.8,49.25,48.36,48.93,49.26,-0.33,-0.6699,737906.5,3604799.242,-0.006699147381242332,-0.03510155787812985,50.017999999999994,51.718999999999994,2025-04,中国平安,金融保险
601318.SH,2025-04-10,49.36,49.8,49.21,49.48,48.93,0.55,1.1241,657915.45,3258096.138,0.011240547721234284,-0.024255570893314315,49.541999999999994,51.6355,2025-04,中国平安,金融保险
601318.SH,2025-04-11,49.48,49.54,48.98,49.35,49.48,-0.13,-0.2627,450121.06,2216984.586,-0.002627324171382339,-0.026819167816998002,49.116,51.54600000000001,2025-04,中国平安,金融保险
601318.SH,2025-04-14,49.6,49.85,49.44,49.48,49.35,0.13,0.2634,387484.14,1922228.962,0.0026342451874366013,-0.024255570893314427,49.3,51.346500000000006,2025-04,中国平安,金融保险
601318.SH,2025-04-15,49.48,49.97,49.26,49.83,49.48,0.35,0.7074,407762.11,2021902.572,0.007073565076798793,-0.017353579175704348,49.414,51.169,2025-04,中国平安,金融保险
601318.SH,2025-04-16,49.72,50.17,49.4,49.88,49.83,0.05,0.1003,467923.5,2323052.33,0.0010034115994381754,-0.016367580358902845,49.604,50.975,2025-04,中国平安,金融保险
601318.SH,2025-04-17,49.69,50.28,49.58,50.16,49.88,0.28,0.5613,377042.89,1884423.296,0.005613472333600544,-0.010845986984814981,49.74,50.7795,2025-04,中国平安,金融保险
601318.SH,2025-04-18,50.05,50.66,49.95,50.44,50.16,0.28,0.5582,338811.0,1706307.228,0.005582137161084466,-0.005324393610727118,49.958,50.67700000000001,2025-04,中国平安,金融保险
601318.SH,2025-04-21,50.4,50.61,50.2,50.28,50.44,-0.16,-0.3172,263784.06,1329681.852,-0.003172085646312328,-0.008479589824491596,50.118,50.603500000000004,2025-04,中国平安,金融保险
601318.SH,2025-04-22,50.2,50.79,50.12,50.57,50.28,0.29,0.5768,355097.83,1793621.626,0.005767700875099369,-0.002760796687043432,50.266,50.5255,2025-04,中国平安,金融保险
601318.SH,2025-04-23,50.76,50.95,50.46,50.7,50.57,0.13,0.2571,298773.21,1515452.317,0.0025706940874037354,-0.00019719976335963452,50.42999999999999,50.4625,2025-04,中国平安,金融保险
601318.SH,2025-04-24,50.7,51.48,50.7,51.22,50.7,0.52,1.0256,423839.43,2170142.049,0.01025641025641022,0.010057187931375111,50.641999999999996,50.4375,2025-04,中国平安,金融保险
